Hours,Price (€),Volume (MWh)
00h-01h,94.94,15536.7
01h-02h,80.0,14709.7
02h-03h,72.5,14114.7
03h-04h,83.54,13835.4
04h-05h,80.0,13646.9
05h-06h,86.27,14932.3
06h-07h,96.04,15432.0
07h-08h,99.88,16771.8
08h-09h,83.82,18499.4
09h-10h,40.0,23990.7
10h-11h,4.83,27087.0
11h-12h,0.0,25587.4
12h-13h,0.0,25574.9
13h-14h,0.0,25941.7
14h-15h,0.0,25856.1
15h-16h,-0.82,23738.4
16h-17h,-0.82,23368.2
17h-18h,0.0,24869.9
18h-19h,6.77,26920.4
19h-20h,42.38,24128.0
20h-21h,86.9,20163.0
21h-22h,99.64,18684.4
22h-23h,98.5,18613.4
23h-24h,90.0,17338.2
